model,cond,split,n,wer,wer_sa,cer,k_wer,k_n,u_wer,u_n,ins_rate,script_fidelity,lat_n,mean_prompt_tokens,fallback_rate
turbo,C1,test,150,1.0231591448931117,0.9048473967684022,0.822940902745463,0.558252427184466,206,0.4438430311231394,1478,0.5653206650831354,0.41627906976744183,430,73.0,
turbo,C2,dev-smoke,8,1.7033898305084745,1.4576271186440677,1.5347682119205297,0.1,10,0.5833333333333334,108,1.1610169491525424,0.6428571428571429,14,144.5,
turbo,C2,test,150,1.3622327790973872,1.1843207660083783,1.141577477896696,0.3155339805825243,206,0.5317997293640054,1478,0.8568883610451307,0.6093023255813953,430,145.09333333333333,
turbo,C2,testcat,100,0.6285559956787901,0.4768979887660808,0.5412795976810785,0.23004059539918809,739,0.46417445482866043,4815,0.19553474972992438,0.7028301886792453,1484,143.75,
turbo,C3,test,150,0.9934679334916865,0.8880909634949132,0.8288738948348069,0.33495145631067963,206,0.4167794316644114,1478,0.5866983372921615,0.6,430,200.0,
turbo,C3,testcat,100,0.3723442563917897,0.2417104547925349,0.2756862471188098,0.21380243572395127,739,0.3241952232606438,4815,0.06283759452646741,0.7163072776280324,1484,200.0,
turbo,C4,dev-k1-cap120,60,0.609375,0.4793152639087018,0.453037120359955,0.14736842105263157,95,0.33497536945812806,609,0.2997159090909091,0.7261904761904762,168,88.98333333333333,
turbo,C4,dev-k1-cap200,60,0.609375,0.4793152639087018,0.453037120359955,0.14736842105263157,95,0.33497536945812806,609,0.2997159090909091,0.7261904761904762,168,88.98333333333333,
turbo,C4,dev-k2-cap120,60,0.5809659090909091,0.4450784593437946,0.45528683914510687,0.15789473684210525,95,0.3399014778325123,609,0.265625,0.7142857142857143,168,120.0,
turbo,C4,dev-k2-cap200,60,0.6434659090909091,0.5135520684736091,0.516029246344207,0.12631578947368421,95,0.3448275862068966,609,0.328125,0.7380952380952381,168,179.35,
turbo,C4,dev-k3-cap120,60,0.5809659090909091,0.4450784593437946,0.45528683914510687,0.15789473684210525,95,0.3399014778325123,609,0.265625,0.7142857142857143,168,120.0,
turbo,C4,dev-k3-cap200,60,0.5482954545454546,0.41512125534950073,0.4111361079865017,0.12631578947368421,95,0.3399014778325123,609,0.2372159090909091,0.7321428571428571,168,200.0,
turbo,C4,dev-smoke,8,0.6694915254237288,0.5,0.6556291390728477,0.2,10,0.4074074074074074,108,0.2796610169491525,0.6428571428571429,14,185.375,
turbo,C4,test,150,0.9079572446555819,0.812687013764213,0.7596556537924616,0.35436893203883496,206,0.41948579161028415,1478,0.49643705463182897,0.5883720930232558,430,200.0,
turbo,C4,testcat,100,0.386388188692834,0.2552998731654285,0.287211007892715,0.2124492557510149,739,0.3393561786085151,4815,0.06391789701116313,0.7001347708894878,1484,200.0,
turbo,C5,test,150,0.8770783847980997,0.7761819269898265,0.7432526756630992,0.3592233009708738,206,0.401894451962111,1478,0.4804038004750594,0.586046511627907,430,200.0,
turbo,C5,testcat,100,0.3955707598127476,0.26399710092408046,0.29960885660403713,0.2543978349120433,739,0.3391484942886812,4815,0.06769895570759812,0.6731805929919138,1484,200.0,
turbo,C6,test,150,0.9560570071258907,0.8563734290843806,0.7873429502093997,0.2961165048543689,206,0.40527740189445194,1478,0.5641330166270784,0.6209302325581395,430,200.0,
turbo,C7,test,150,0.7149643705463183,0.6128067025733094,0.5622382503489995,0.35436893203883496,206,0.41136671177266576,1478,0.31057007125890734,0.5813953488372093,430,200.0,0.12666666666666668
